PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Gabriel Arias,SS,SS,CLE,MIL,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 3 L-R
Jahmai Jones,OF,OF,LAA,HOU,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Austin Allen,C,C,OAK,SD,,3700,0.0,0.0,2.2,0.6,2.6,0.7,W 6 L-R
Dylan Moore,2B,2B/OF,SEA,TEX,,3800,0.0,0.0,8.8,2.3,9.7,2.6,In Dome
Kyle McCann,C,C,OAK,SD,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Dustin Fowler,OF,OF,OAK,SD,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Jarred Kelenic,OF,OF,SEA,TEX,,2200,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Jordyn Adams,OF,OF,LAA,HOU,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Seth Beer,OF,OF,ARI,@SF,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 6 Out
Tim Federowicz,C,C,TEX,@SEA,,2300,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Tyler Heineman,C,C,SF,ARI,,3500,0.0,0.0,1.9,0.6,3.9,1.1,W 6 Out
Sherten Apostel,3B,3B,TEX,@SEA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Ketel Marte,2B,2B,ARI,@SF,,4400,0.0,0.0,8.2,1.9,6.9,1.6,W 6 Out
Austin Shenton,3B,3B,SEA,TEX,,2100,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Jose Rojas,2B,2B,LAA,HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Mike Fiers,P,SP,OAK,SD,Yes,7800,0.0,0.0,10.2,1.3,8.5,1.1,W 6 L-R
Jorge Ona,OF,OF,SD,@OAK,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Tucupita Marcano,3B,3B/SS,SD,@OAK,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Owen Miller,SS,SS,CLE,MIL,,2500,0.0,0.0,0.0,0.0,0.0,0.0,W 3 L-R
Brandon Marsh,OF,OF,LAA,HOU,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Carson Kelly,C,C,ARI,@SF,,2500,0.0,0.0,4.0,1.6,3.8,1.5,W 6 Out
Zach Green,3B,3B,SF,ARI,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 6 Out
Tim Lopes,OF,OF,SEA,TEX,,2200,0.0,0.0,4.1,1.9,5.2,2.4,In Dome
Joe Hudson,C,C,SEA,TEX,,2100,0.0,0.0,1.6,0.8,1.4,0.7,In Dome
Seth Brown,OF,OF,OAK,SD,,2500,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Joey Bart,C,C,SF,ARI,,4000,0.0,0.0,9.8,2.5,6.1,1.5,W 6 Out
Jeff Mathis,C,C,TEX,@SEA,,3000,0.0,0.0,4.4,1.5,4.4,1.5,In Dome
