PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Jay Bruce,OF,PHI,WAS,5,2700,8.5,3.2,12.1,4.5,10.4,3.9,W 8 Out
Lewis Brinson,OF,MIA,TOR,8,2000,8.5,4.2,7.3,3.7,3.9,1.9,In Dome
Enrique Hernandez,2B,LAD,ARI,7,2500,8.4,3.4,1.9,0.8,6.3,2.5,W 6 Out
Nico Hoerner,2B,CHC,@PIT,9,2400,8.4,3.5,3.2,1.3,6.1,2.5,W 8 Out
Andrew Velazquez,3B,BAL,NYM,9,2000,8.4,4.2,3.0,1.5,3.1,1.5,W 9 Out
Eduardo Escobar,3B,ARI,@LAD,5,2800,8.4,3.0,9.1,3.3,8.3,3.0,W 6 Out
Ronald Guzman,C1,TEX,@HOU,7,2300,8.4,3.6,12.4,5.4,12.4,5.4,In Dome
Victor Robles,OF,WAS,@PHI,9,2400,8.3,3.5,5.5,2.3,7.1,3.0,W 8 Out
Erik Gonzalez,SS,PIT,CHC,1,2400,8.3,3.5,13.1,5.4,8.7,3.6,W 8 Out
Gary Sanchez,C1,NYY,TB,7,2900,8.3,2.9,7.1,2.5,7.1,2.5,W 9 R-L
Randy Arozarena,OF,TB,@NYY,8,2200,8.3,3.8,6.1,2.8,6.1,2.8,W 9 R-L
Kevan Smith,C1,TB,@NYY,9,2000,8.3,4.2,6.3,3.2,5.3,2.6,W 9 R-L
Nick Solak,OF,TEX,@HOU,2,2700,8.3,3.1,7.5,2.8,8.8,3.3,In Dome
Brian Anderson,3B,MIA,TOR,5,2900,8.2,2.8,4.9,1.7,9.2,3.2,In Dome
Martin Maldonado,C1,HOU,TEX,9,2600,8.2,3.2,8.0,3.1,9.1,3.5,In Dome
Ketel Marte,2B,ARI,@LAD,2,2700,8.2,3.0,6.2,2.3,8.0,3.0,W 6 Out
Adam Frazier,2B,PIT,CHC,2,2400,8.2,3.4,10.1,4.2,7.6,3.2,W 8 Out
Marwin Gonzalez,3B,MIN,CWS,5,2600,8.2,3.1,3.8,1.5,6.8,2.6,W 8 R-L
Joey Wendle,SS,TB,@NYY,7,2200,8.1,3.7,10.6,4.8,7.9,3.6,W 9 R-L
Travis Demeritte,OF,DET,@MIL,6,2000,8.1,4.0,1.9,0.9,4.2,2.1,In Dome
Brett Gardner,OF,NYY,TB,8,2500,8.1,3.2,3.0,1.2,6.4,2.6,W 9 R-L
Elvis Andrus,SS,TEX,@HOU,6,2400,8.0,3.4,7.4,3.1,6.6,2.7,In Dome
Alec Bohm,3B,PHI,WAS,8,2500,8.0,3.2,10.1,4.1,10.1,4.1,W 8 Out
Roberto Perez,C1,CLE,@KC,8,2100,8.0,3.8,9.4,4.5,5.2,2.5,W 4 R-L
Pat Valaika,SS,BAL,NYM,8,2300,8.0,3.5,7.4,3.2,6.4,2.8,W 9 Out
Dylan Carlson,OF,STL,@CIN,9,2100,7.9,3.8,3.2,1.5,5.3,2.5,W 7 Out
