"Name","Team","HR/9","HR/FB","ERA","FIP","xFIP","WHIP","Strikes","FA% (pfx)","wFA/C (pfx)","FT% (pfx)","wFT/C (pfx)","FC% (pfx)","wFC/C (pfx)","FS% (pfx)","wFS/C (pfx)","FO% (pfx)","wFO/C (pfx)","SI% (pfx)","wSI/C (pfx)","SL% (pfx)","wSL/C (pfx)","CU% (pfx)","wCU/C (pfx)","KC% (pfx)","wKC/C (pfx)","EP% (pfx)","wEP/C (pfx)","CH% (pfx)","wCH/C (pfx)","SC% (pfx)","wSC/C (pfx)","KN% (pfx)","wKN/C (pfx)","GS","Start-IP","playerid"
"Chase De Jong","Astros","2.45","14.3%","14.73","6.74","6.92","2.18","39","46.9%","3.87","","","","","","","","","","","32.8%","-2.25","15.6%","-5.92","","","","","4.7%","-7.74","","","","","1","3.0","15036"
"Erik Swanson","Mariners","5.06","37.5%","15.19","9.56","5.18","1.50","57","76.7%","-1.76","","","","","","","","","","","22.1%","-7.72","","","","","","","1.2%","4.31","","","","","0","","16587"
"Chance Adams","Royals","1.69","10.0%","15.19","4.13","5.36","2.25","70","47.9%","-3.02","","","","","","","","","","","2.5%","0.72","45.4%","-1.23","","","","","4.2%","-5.63","","","","","0","","18135"
"Nestor Cortes","Mariners","7.04","50.0%","15.26","14.41","7.29","2.35","97","40.0%","-2.51","","","","","","","","","0.6%","-129.19","36.4%","0.10","17.6%","1.04","","","","","5.5%","-12.55","","","","","1","0.1","17874"
"Kelvin Herrera","White Sox","7.71","66.7%","15.43","13.05","4.42","1.71","21","18.9%","7.20","","","2.7%","5.92","","","","","48.7%","-5.06","5.4%","0.45","2.7%","4.31","","","","","21.6%","-6.07","","","","","0","","6033"
"Joe Mantiply","Diamondbacks","0.00","0.0%","15.43","6.62","9.13","3.00","35","","","","","","","","","","","47.4%","-1.18","","","45.6%","3.77","","","","","7.0%","-17.20","","","","","0","","14857"
"Kyle Hart","Red Sox","3.27","25.0%","15.55","8.28","6.40","3.09","149","28.1%","-2.39","","","","","","","","","13.5%","-3.43","35.4%","-2.67","4.6%","-5.64","","","","","18.5%","-2.37","","","","","3","9.0","19646"
"Nick Pivetta","Phillies","4.76","25.0%","15.88","9.72","6.98","1.94","66","51.0%","-1.32","","","","","","","","","","","4.9%","-0.01","","","36.3%","-4.42","","","7.8%","1.86","","","","","0","","15454"
"Mike Foltynewicz","Braves","8.10","60.0%","16.20","16.69","7.92","2.40","38","21.4%","8.89","","","","","","","","","22.9%","-3.38","28.6%","2.91","14.3%","1.25","","","","","12.9%","-12.71","","","","","1","3.1","10811"
"James Norwood","Cubs","0.00","0.0%","16.20","4.99","7.34","3.00","20","18.8%","12.21","","","","","25.0%","-18.77","","","50.0%","6.28","6.3%","0.34","","","","","","","","","","","","","0","","16440"
"Dillon Peters","Angels","10.80","40.0%","16.20","16.39","6.66","1.80","26","50.0%","1.48","","","","","","","","","","","11.1%","-35.40","11.1%","0.12","","","","","27.8%","-11.92","","","","","1","1.2","18790"
"Wade Davis","Rockies","6.75","40.0%","16.88","15.56","9.48","2.25","41","49.3%","-2.31","","","26.8%","5.64","","","","","","","","","","","14.1%","2.05","","","9.9%","4.13","","","","","0","","7441"
"James Pazos","Rockies","5.06","33.3%","16.88","12.94","8.93","2.81","76","","","","","","","","","","","68.7%","-0.34","27.5%","-4.76","","","","","","","3.8%","5.68","","","","","0","","13323"
"Connor Brogdon","Phillies","10.13","60.0%","16.88","18.94","7.98","2.63","41","43.1%","-6.02","","","1.5%","4.31","","","","","","","","","","","","","","","55.4%","-3.20","","","","","0","","21205"
"Miguel Del Pozo","Pirates","0.00","0.0%","17.18","8.64","10.24","4.09","60","54.1%","-3.09","","","","","","","","","","","","","43.2%","3.66","","","","","2.7%","-3.54","","","","","0","","18792"
"Cole Irvin","Phillies","2.45","20.0%","17.18","5.37","4.49","3.27","52","53.7%","-2.53","","","","","","","","","","","17.1%","-7.27","3.7%","3.26","","","","","25.6%","0.06","","","","","0","","19244"
"Justin Grimm","Brewers","7.71","44.4%","17.36","14.33","6.96","2.79","64","38.2%","4.49","","","","","","","","","","","53.6%","-7.32","8.2%","8.83","","","","","","","","","","","0","","11720"
"Orlando Arcia","Brewers","9.00","25.0%","18.00","16.19","11.01","2.00","9","","","","","","","","","","","","","","","100.0%","-9.80","","","","","","","","","","","0","","13185"
"Tim Lopes","Mariners","0.00","0.0%","18.00","6.19","10.10","3.00","8","","","","","","","","","","","","","","","100.0%","-1.23","","","","","","","","","","","0","","14137"
"Dillon Maples","Cubs","0.00","0.0%","18.00","13.19","15.14","5.00","16","20.0%","3.28","","","","","","","","","17.5%","-8.67","40.0%","-2.43","22.5%","3.13","","","","","","","","","","","0","","14672"
"Brad Wieck","Cubs","9.00","50.0%","18.00","15.19","6.10","2.00","11","70.0%","-6.97","","","","","","","","","","","","","","","30.0%","9.12","","","","","","","","","0","","16390"
"Jorge Guzman","Marlins","18.00","100.0%","18.00","35.19","13.10","3.00","10","52.6%","-25.82","","","","","","","","","10.5%","15.33","5.3%","4.31","","","","","","","31.6%","0.47","","","","","0","","17505"
"Bernardo Flores Jr.","White Sox","0.00","0.0%","18.00","1.19","1.19","2.00","10","53.9%","8.11","","","","","","","","","","","15.4%","-27.52","30.8%","-13.80","","","","","","","","","","","0","","19561"
"Anthony Castro","Tigers","9.00","50.0%","18.00","17.19","8.10","2.00","10","52.9%","-12.38","","","","","","","","","","","11.8%","17.69","29.4%","5.04","","","","","5.9%","6.34","","","","","0","","19789"
"Jesus Cruz","Cardinals","0.00","0.0%","18.00","2.19","6.10","4.00","24","51.3%","-1.46","","","","","","","","","7.7%","0.57","18.0%","-11.82","","","","","","","23.1%","-2.36","","","","","0","","20042"
"Bryan Shaw","Mariners","1.50","14.3%","18.00","7.52","7.64","3.17","85","0.6%","-3.63","","","60.9%","-2.57","","","","","","","17.3%","-2.58","16.7%","-6.53","","","","","4.5%","-6.65","","","","","0","","8110"
"Jordan Yamamoto","Marlins","6.35","34.8%","18.26","11.92","6.72","3.00","160","31.9%","-7.48","","","19.6%","-5.99","","","","","10.0%","-7.06","23.0%","1.70","14.1%","4.42","","","","","1.5%","-11.14","","","","","3","8.2","17585"
"Matt Hall","Red Sox","2.08","20.0%","18.69","7.92","7.18","3.12","119","45.7%","-1.28","","","18.1%","0.88","","","","","1.0%","14.36","","","31.9%","-3.66","","","","","3.3%","2.53","","","","","1","2.2","18076"
"Alex Vesia","Marlins","6.23","33.3%","18.69","14.73","9.79","3.23","76","72.9%","-2.74","","","","","","","","","","","9.0%","2.95","","","","","","","18.1%","-1.60","","","","","0","","25007"
"Brett Eibner","Marlins","6.75","100.0%","20.25","20.44","12.16","4.50","16","67.7%","-5.36","","","26.5%","9.09","","","","","","","","","5.9%","5.12","","","","","","","","","","","0","","11369"
"Albert Abreu","Yankees","6.75","50.0%","20.25","16.69","9.87","4.50","24","51.2%","-6.66","","","","","","","","","","","18.6%","-4.79","7.0%","5.62","","","","","23.3%","-4.69","","","","","0","","17485"
"Angel Perdomo","Brewers","0.00","0.0%","20.25","8.44","9.17","3.75","45","68.2%","0.38","","","","","","","","","","","25.9%","7.04","","","","","","","5.9%","8.36","","","","","0","","17759"
"Jose Mujica","Rockies","6.75","40.0%","20.25","14.44","8.36","3.75","36","59.3%","-18.03","","","","","","","","","","","","","16.7%","0.05","","","","","24.1%","11.08","","","","","0","","17821"
"Joe Biagini","Astros","2.08","25.0%","20.77","7.11","5.92","3.23","62","21.2%","0.17","","","8.5%","5.97","","","","","42.4%","-5.13","","","17.8%","4.81","","","","","10.2%","5.19","","","","","0","","13194"
"Austin Davis","Phillies","3.00","50.0%","21.00","7.19","4.16","3.67","59","50.0%","0.18","","","","","","","","","","","14.0%","-4.77","14.0%","0.68","","","","","22.1%","-3.41","","","","","0","","17117"
"Robinson Leyer","Red Sox","4.91","33.3%","22.09","12.19","8.30","4.91","78","48.6%","-3.00","","","","","","","","","0.7%","5.92","50.7%","0.89","","","","","","","","","","","","","1","1.0","14399"
"Ranger Suarez","Phillies","0.00","0.0%","22.50","9.19","13.10","4.50","34","14.8%","4.67","","","","","","","","","45.9%","-3.52","24.6%","-7.29","","","","","","","14.8%","-1.21","","","","","0","","17277"
"Junior Fernandez","Cardinals","4.50","33.3%","27.00","10.69","7.12","4.00","29","","","","","","","","","","","51.0%","-2.57","21.6%","0.23","","","","","","","27.5%","-13.94","","","","","0","","18496"
"Jose De Leon","Reds","2.25","50.0%","27.00","8.44","6.17","3.25","57","","","","","","","","","","","70.7%","-3.13","10.1%","4.12","","","","","","","19.2%","10.76","","","","","0","","15463"
"Jose Peraza","Red Sox","0.00","0.0%","27.00","3.19","3.19","6.00","8","","","","","","","","","","","","","","","92.9%","-3.18","","","","","7.1%","","","","","","0","","13593"
"Patrick Weigel","Braves","0.00","0.0%","27.00","16.69","22.56","7.50","17","58.3%","-2.65","","","","","","","","","","","25.0%","-4.11","","","","","","","16.7%","0.71","","","","","0","","17792"
"Michael Feliz","Pirates","5.40","50.0%","32.40","13.99","8.54","3.60","32","55.0%","-7.01","","","","","","","","","","","38.3%","4.14","","","","","","","6.7%","-0.76","","","","","0","","11903"
"Travis Demeritte","Tigers","18.00","40.0%","36.00","29.19","12.97","4.00","12","","","","","","","","","","","","","5.9%","-139.00","29.4%","-23.04","","","","","64.7%","-3.72","","","","","0","","15958"
"Phil Bickford","Brewers","0.00","0.0%","36.00","5.19","7.14","4.00","23","81.8%","-5.14","","","","","","","","","3.0%","6.34","","","15.2%","-19.70","","","","","","","","","","","0","","18519"
"Mauricio Llovera","Phillies","0.00","0.0%","36.00","7.19","9.14","6.00","24","","","","","","","","","","","46.3%","-9.01","14.6%","-4.46","2.4%","4.31","","","","","36.6%","-5.00","","","","","0","","20080"
"Shohei Ohtani","Angels","0.00","0.0%","37.80","13.99","15.16","6.60","40","48.8%","0.60","","","","","16.3%","4.65","","","","","28.8%","0.92","6.3%","1.14","","","","","","","","","","","2","1.2","19755"
"Jose Suarez","Angels","3.86","50.0%","38.57","14.76","10.87","6.43","49","34.1%","-5.78","","","","","","","","","11.4%","-11.49","5.7%","0.10","13.6%","-3.24","","","","","35.2%","1.76","","","","","2","2.1","19911"
"Juan Nicasio","Rangers","6.75","25.0%","40.50","15.94","12.06","5.25","25","","","","","","","","","","","67.4%","-3.13","26.1%","3.54","","","","","","","6.5%","1.88","","","","","0","","7731"
"Drew Anderson","White Sox","13.50","50.0%","40.50","24.19","10.56","4.50","28","70.0%","-8.22","","","","","","","","","","","4.0%","-22.71","10.0%","5.27","","","","","16.0%","-3.87","","","","","0","","15130"
"Matt Grace","Diamondbacks","9.00","33.3%","54.00","18.19","11.06","7.00","21","61.1%","-8.18","","","","","","","","","2.8%","","30.6%","3.78","","","","","","","5.6%","-35.46","","","","","0","","11449"
"Cody Carroll","Orioles","0.00","0.0%","54.00","9.19","12.12","7.00","45","79.5%","-6.30","","","","","1.2%","5.48","","","","","19.3%","-0.91","","","","","","","","","","","","","0","","17664"
"David McKay","Tigers","27.00","100.0%","54.00","51.19","18.06","6.00","6","","","","","","","","","","","71.4%","3.88","","","28.6%","2.25","","","","","","","","","","","0","","19814"
"Kyle Nelson","Indians","13.50","100.0%","54.00","27.19","10.62","6.00","18","32.0%","-17.00","","","","","","","","","","","68.0%","-2.86","","","","","","","","","","","","","0","","20515"
"Roel Ramirez","Cardinals","54.00","133.3%","81.00","82.69","13.49","10.50","17","63.3%","-17.26","","","","","","","","","","","33.3%","-0.11","","","","","","","3.3%","-139.00","","","","","0","","16470"
